order_number,date (OG),warehouse,client_type,product_line,quantity,unit_price,total,payment,payment_fee,date,year,month,date,months_name
N206,2021-07-27T00:00:00.000Z,North,Retail,Breaking system,1,17.58,17.58,Credit card,0.03,2021-07-27,2021,07,27,July
N207,2021-07-28T00:00:00.000Z,North,Wholesale,Breaking system,8,11.91,95.31,Transfer,0.01,2021-07-28,2021,07,28,July
N208,2021-07-28T00:00:00.000Z,North,Retail,Breaking system,9,21.32,191.9,Credit card,0.03,2021-07-28,2021,07,28,July
N209,2021-07-28T00:00:00.000Z,North,Retail,Miscellaneous,10,25.74,257.4,Credit card,0.03,2021-07-28,2021,07,28,July
N210,2021-07-28T00:00:00.000Z,North,Wholesale,Suspension & traction,28,40.43,1132.13,Transfer,0.01,2021-07-28,2021,07,28,July
N211,2021-07-28T00:00:00.000Z,North,Retail,Breaking system,10,11.48,114.75,Credit card,0.03,2021-07-28,2021,07,28,July
N212,2021-07-29T00:00:00.000Z,North,Wholesale,Miscellaneous,24,26.77,642.48,Transfer,0.01,2021-07-29,2021,07,29,July
N213,2021-07-29T00:00:00.000Z,North,Retail,Electrical system,3,26,78,Credit card,0.03,2021-07-29,2021,07,29,July
N214,2021-07-30T00:00:00.000Z,North,Retail,Suspension & traction,2,30.79,61.58,Credit card,0.03,2021-07-30,2021,07,30,July
N215,2021-07-30T00:00:00.000Z,North,Retail,Electrical system,10,24.25,242.47,Credit card,0.03,2021-07-30,2021,07,30,July
N216,2021-07-30T00:00:00.000Z,North,Retail,Breaking system,4,12.05,48.21,Credit card,0.03,2021-07-30,2021,07,30,July
N217,2021-07-31T00:00:00.000Z,North,Retail,Frame & body,2,39.91,79.82,Credit card,0.03,2021-07-31,2021,07,31,July
N218,2021-07-31T00:00:00.000Z,North,Retail,Miscellaneous,4,24.42,97.68,Credit card,0.03,2021-07-31,2021,07,31,July
N219,2021-07-31T00:00:00.000Z,North,Wholesale,Frame & body,12,48.1,577.26,Transfer,0.01,2021-07-31,2021,07,31,July
N220,2021-08-01T00:00:00.000Z,North,Retail,Electrical system,7,21.49,150.44,Credit card,0.03,2021-08-01,2021,08,01,August
N221,2021-08-01T00:00:00.000Z,North,Retail,Breaking system,1,16.07,16.07,Credit card,0.03,2021-08-01,2021,08,01,August
N222,2021-08-01T00:00:00.000Z,North,Retail,Engine,1,54.17,54.17,Credit card,0.03,2021-08-01,2021,08,01,August
N223,2021-08-01T00:00:00.000Z,North,Retail,Suspension & traction,7,32.72,229.05,Credit card,0.03,2021-08-01,2021,08,01,August
N224,2021-08-01T00:00:00.000Z,North,Retail,Breaking system,8,12.03,96.23,Credit card,0.03,2021-08-01,2021,08,01,August
N225,2021-08-02T00:00:00.000Z,North,Retail,Suspension & traction,9,30.55,274.95,Cash,0,2021-08-02,2021,08,02,August
N226,2021-08-02T00:00:00.000Z,North,Retail,Miscellaneous,4,25.78,103.11,Credit card,0.03,2021-08-02,2021,08,02,August
N227,2021-08-02T00:00:00.000Z,North,Wholesale,Breaking system,36,16.49,593.76,Transfer,0.01,2021-08-02,2021,08,02,August
N228,2021-08-02T00:00:00.000Z,North,Retail,Engine,3,61.45,184.36,Credit card,0.03,2021-08-02,2021,08,02,August
N229,2021-08-02T00:00:00.000Z,North,Retail,Frame & body,7,35.39,247.73,Credit card,0.03,2021-08-02,2021,08,02,August
N230,2021-08-02T00:00:00.000Z,North,Wholesale,Engine,40,58.1,2324.2,Transfer,0.01,2021-08-02,2021,08,02,August
N231,2021-08-02T00:00:00.000Z,North,Retail,Electrical system,5,19.1,95.52,Credit card,0.03,2021-08-02,2021,08,02,August
N232,2021-08-02T00:00:00.000Z,North,Retail,Suspension & traction,4,34.42,137.69,Credit card,0.03,2021-08-02,2021,08,02,August
N233,2021-08-02T00:00:00.000Z,North,Wholesale,Electrical system,24,33.3,799.32,Transfer,0.01,2021-08-02,2021,08,02,August
N234,2021-08-03T00:00:00.000Z,North,Retail,Suspension & traction,3,38.05,114.16,Cash,0,2021-08-03,2021,08,03,August
N235,2021-08-03T00:00:00.000Z,North,Retail,Breaking system,2,21.98,43.97,Credit card,0.03,2021-08-03,2021,08,03,August
N236,2021-08-04T00:00:00.000Z,North,Wholesale,Electrical system,36,20.25,729,Transfer,0.01,2021-08-04,2021,08,04,August
N237,2021-08-04T00:00:00.000Z,North,Retail,Frame & body,6,48.69,292.13,Credit card,0.03,2021-08-04,2021,08,04,August
N238,2021-08-04T00:00:00.000Z,North,Wholesale,Frame & body,40,35.97,1438.73,Transfer,0.01,2021-08-04,2021,08,04,August
N239,2021-08-04T00:00:00.000Z,North,Retail,Electrical system,1,29.96,29.96,Cash,0,2021-08-04,2021,08,04,August
N240,2021-08-05T00:00:00.000Z,North,Wholesale,Suspension & traction,16,29.72,475.49,Transfer,0.01,2021-08-05,2021,08,05,August
N241,2021-08-05T00:00:00.000Z,North,Retail,Electrical system,9,19.26,173.32,Credit card,0.03,2021-08-05,2021,08,05,August
N242,2021-08-05T00:00:00.000Z,North,Retail,Suspension & traction,1,41.32,41.32,Credit card,0.03,2021-08-05,2021,08,05,August
N243,2021-08-06T00:00:00.000Z,North,Retail,Electrical system,1,32.86,32.86,Cash,0,2021-08-06,2021,08,06,August
N244,2021-08-06T00:00:00.000Z,North,Retail,Suspension & traction,6,30.67,183.99,Credit card,0.03,2021-08-06,2021,08,06,August
N245,2021-08-06T00:00:00.000Z,North,Wholesale,Suspension & traction,40,40.11,1604.33,Transfer,0.01,2021-08-06,2021,08,06,August
N246,2021-08-06T00:00:00.000Z,North,Retail,Breaking system,5,18.63,93.14,Credit card,0.03,2021-08-06,2021,08,06,August
N247,2021-08-07T00:00:00.000Z,North,Retail,Engine,4,58.62,234.47,Credit card,0.03,2021-08-07,2021,08,07,August
N248,2021-08-07T00:00:00.000Z,North,Retail,Breaking system,8,24.55,196.39,Credit card,0.03,2021-08-07,2021,08,07,August
N249,2021-08-07T00:00:00.000Z,North,Wholesale,Miscellaneous,20,29.96,599.27,Transfer,0.01,2021-08-07,2021,08,07,August
N250,2021-08-07T00:00:00.000Z,North,Retail,Frame & body,2,43.48,86.96,Credit card,0.03,2021-08-07,2021,08,07,August
N251,2021-08-07T00:00:00.000Z,North,Retail,Frame & body,10,42.04,420.43,Credit card,0.03,2021-08-07,2021,08,07,August
N252,2021-08-07T00:00:00.000Z,North,Retail,Electrical system,10,25.32,253.23,Cash,0,2021-08-07,2021,08,07,August
N253,2021-08-08T00:00:00.000Z,North,Retail,Suspension & traction,7,40.62,284.3,Credit card,0.03,2021-08-08,2021,08,08,August
N254,2021-08-08T00:00:00.000Z,North,Retail,Frame & body,3,37.64,112.92,Credit card,0.03,2021-08-08,2021,08,08,August
N255,2021-08-08T00:00:00.000Z,North,Wholesale,Miscellaneous,28,15.02,420.61,Transfer,0.01,2021-08-08,2021,08,08,August
N256,2021-08-08T00:00:00.000Z,North,Retail,Electrical system,2,26.34,52.68,Credit card,0.03,2021-08-08,2021,08,08,August
N257,2021-08-08T00:00:00.000Z,North,Retail,Frame & body,5,43.77,218.85,Credit card,0.03,2021-08-08,2021,08,08,August
N258,2021-08-08T00:00:00.000Z,North,Retail,Breaking system,2,22.95,45.89,Credit card,0.03,2021-08-08,2021,08,08,August
N259,2021-08-09T00:00:00.000Z,North,Retail,Suspension & traction,8,35.57,284.56,Credit card,0.03,2021-08-09,2021,08,09,August
N260,2021-08-09T00:00:00.000Z,North,Retail,Suspension & traction,5,29.72,148.6,Credit card,0.03,2021-08-09,2021,08,09,August
N261,2021-08-09T00:00:00.000Z,North,Wholesale,Electrical system,28,28.16,788.34,Transfer,0.01,2021-08-09,2021,08,09,August
N262,2021-08-09T00:00:00.000Z,North,Retail,Electrical system,2,26.63,53.26,Credit card,0.03,2021-08-09,2021,08,09,August
N263,2021-08-09T00:00:00.000Z,North,Retail,Breaking system,4,24.11,96.45,Credit card,0.03,2021-08-09,2021,08,09,August
N264,2021-08-10T00:00:00.000Z,North,Wholesale,Frame & body,28,49.73,1392.53,Transfer,0.01,2021-08-10,2021,08,10,August
N265,2021-08-10T00:00:00.000Z,North,Retail,Electrical system,4,24.61,98.45,Credit card,0.03,2021-08-10,2021,08,10,August
N266,2021-08-11T00:00:00.000Z,North,Retail,Breaking system,5,17.38,86.89,Credit card,0.03,2021-08-11,2021,08,11,August
N267,2021-08-11T00:00:00.000Z,North,Retail,Miscellaneous,7,20.96,146.76,Credit card,0.03,2021-08-11,2021,08,11,August
N268,2021-08-11T00:00:00.000Z,North,Retail,Electrical system,10,19.31,193.12,Credit card,0.03,2021-08-11,2021,08,11,August
N269,2021-08-12T00:00:00.000Z,North,Wholesale,Breaking system,8,12.25,97.97,Transfer,0.01,2021-08-12,2021,08,12,August
N270,2021-08-12T00:00:00.000Z,North,Wholesale,Frame & body,36,49.58,1784.88,Transfer,0.01,2021-08-12,2021,08,12,August
N271,2021-08-12T00:00:00.000Z,North,Retail,Electrical system,7,33.26,232.81,Credit card,0.03,2021-08-12,2021,08,12,August
N272,2021-08-12T00:00:00.000Z,North,Retail,Electrical system,3,19.28,57.84,Credit card,0.03,2021-08-12,2021,08,12,August
N273,2021-08-13T00:00:00.000Z,North,Retail,Electrical system,9,20.82,187.34,Cash,0,2021-08-13,2021,08,13,August
N274,2021-08-13T00:00:00.000Z,North,Retail,Engine,2,66.1,132.19,Credit card,0.03,2021-08-13,2021,08,13,August
N275,2021-08-13T00:00:00.000Z,North,Wholesale,Breaking system,40,11.61,464.4,Transfer,0.01,2021-08-13,2021,08,13,August
N276,2021-08-14T00:00:00.000Z,North,Retail,Frame & body,8,45.42,363.33,Credit card,0.03,2021-08-14,2021,08,14,August
N277,2021-08-14T00:00:00.000Z,North,Retail,Miscellaneous,5,23.94,119.68,Cash,0,2021-08-14,2021,08,14,August
N278,2021-08-14T00:00:00.000Z,North,Retail,Suspension & traction,4,28.96,115.83,Credit card,0.03,2021-08-14,2021,08,14,August
N279,2021-08-15T00:00:00.000Z,North,Retail,Suspension & traction,4,37.91,151.65,Credit card,0.03,2021-08-15,2021,08,15,August
N280,2021-08-15T00:00:00.000Z,North,Wholesale,Frame & body,40,46.15,1846.13,Transfer,0.01,2021-08-15,2021,08,15,August
N281,2021-08-16T00:00:00.000Z,North,Retail,Frame & body,5,38.88,194.38,Credit card,0.03,2021-08-16,2021,08,16,August
N282,2021-08-16T00:00:00.000Z,North,Retail,Electrical system,4,25.2,100.79,Credit card,0.03,2021-08-16,2021,08,16,August
N283,2021-08-17T00:00:00.000Z,North,Wholesale,Miscellaneous,8,27.22,217.79,Transfer,0.01,2021-08-17,2021,08,17,August
N284,2021-08-17T00:00:00.000Z,North,Retail,Breaking system,9,21.07,189.6,Credit card,0.03,2021-08-17,2021,08,17,August
N285,2021-08-17T00:00:00.000Z,North,Retail,Breaking system,1,10.92,10.92,Credit card,0.03,2021-08-17,2021,08,17,August
N286,2021-08-17T00:00:00.000Z,North,Retail,Suspension & traction,4,28.88,115.53,Credit card,0.03,2021-08-17,2021,08,17,August
N287,2021-08-17T00:00:00.000Z,North,Retail,Electrical system,9,29.18,262.59,Credit card,0.03,2021-08-17,2021,08,17,August
N288,2021-08-17T00:00:00.000Z,North,Retail,Suspension & traction,5,30.45,152.26,Credit card,0.03,2021-08-17,2021,08,17,August
N289,2021-08-18T00:00:00.000Z,North,Retail,Frame & body,9,39.79,358.08,Credit card,0.03,2021-08-18,2021,08,18,August
N290,2021-08-18T00:00:00.000Z,North,Wholesale,Electrical system,24,29.08,698.04,Transfer,0.01,2021-08-18,2021,08,18,August
N291,2021-08-18T00:00:00.000Z,North,Wholesale,Breaking system,4,23.6,94.41,Transfer,0.01,2021-08-18,2021,08,18,August
N292,2021-08-18T00:00:00.000Z,North,Retail,Miscellaneous,2,20.54,41.08,Credit card,0.03,2021-08-18,2021,08,18,August
N293,2021-08-18T00:00:00.000Z,North,Retail,Suspension & traction,9,40.66,365.94,Cash,0,2021-08-18,2021,08,18,August
N294,2021-08-18T00:00:00.000Z,North,Retail,Frame & body,10,40.67,406.7,Cash,0,2021-08-18,2021,08,18,August
N295,2021-08-19T00:00:00.000Z,North,Wholesale,Suspension & traction,36,30.64,1103.04,Transfer,0.01,2021-08-19,2021,08,19,August
N296,2021-08-19T00:00:00.000Z,North,Retail,Suspension & traction,8,40,320.03,Credit card,0.03,2021-08-19,2021,08,19,August
N297,2021-08-19T00:00:00.000Z,North,Retail,Suspension & traction,3,29.41,88.24,Credit card,0.03,2021-08-19,2021,08,19,August
N298,2021-08-19T00:00:00.000Z,North,Retail,Electrical system,5,21.41,107.04,Credit card,0.03,2021-08-19,2021,08,19,August
N299,2021-08-20T00:00:00.000Z,North,Retail,Frame & body,6,43.69,262.13,Credit card,0.03,2021-08-20,2021,08,20,August
N300,2021-08-20T00:00:00.000Z,North,Retail,Breaking system,5,17.76,88.8,Credit card,0.03,2021-08-20,2021,08,20,August
N301,2021-08-20T00:00:00.000Z,North,Retail,Suspension & traction,8,33.76,270.12,Cash,0,2021-08-20,2021,08,20,August
N302,2021-08-20T00:00:00.000Z,North,Retail,Suspension & traction,1,28.05,28.05,Credit card,0.03,2021-08-20,2021,08,20,August
N303,2021-08-20T00:00:00.000Z,North,Retail,Electrical system,1,32.52,32.52,Credit card,0.03,2021-08-20,2021,08,20,August
N304,2021-08-20T00:00:00.000Z,North,Retail,Suspension & traction,8,33.49,267.91,Credit card,0.03,2021-08-20,2021,08,20,August
N305,2021-08-20T00:00:00.000Z,North,Retail,Frame & body,5,47.65,238.26,Credit card,0.03,2021-08-20,2021,08,20,August
N306,2021-08-21T00:00:00.000Z,North,Retail,Breaking system,3,17.12,51.38,Credit card,0.03,2021-08-21,2021,08,21,August
N307,2021-08-21T00:00:00.000Z,North,Retail,Suspension & traction,1,29.22,29.22,Cash,0,2021-08-21,2021,08,21,August
N308,2021-08-21T00:00:00.000Z,North,Retail,Electrical system,10,28.91,289.12,Credit card,0.03,2021-08-21,2021,08,21,August
N309,2021-08-21T00:00:00.000Z,North,Retail,Breaking system,4,14.52,58.1,Credit card,0.03,2021-08-21,2021,08,21,August
N310,2021-08-21T00:00:00.000Z,North,Retail,Miscellaneous,6,25.65,153.88,Credit card,0.03,2021-08-21,2021,08,21,August
N311,2021-08-21T00:00:00.000Z,North,Wholesale,Frame & body,40,35.92,1436.67,Transfer,0.01,2021-08-21,2021,08,21,August
N312,2021-08-22T00:00:00.000Z,North,Retail,Suspension & traction,4,35.99,143.96,Credit card,0.03,2021-08-22,2021,08,22,August
N313,2021-08-22T00:00:00.000Z,North,Retail,Suspension & traction,2,36.72,73.44,Credit card,0.03,2021-08-22,2021,08,22,August
N314,2021-08-23T00:00:00.000Z,North,Retail,Electrical system,7,19.89,139.21,Credit card,0.03,2021-08-23,2021,08,23,August
N315,2021-08-23T00:00:00.000Z,North,Retail,Electrical system,3,19.3,57.9,Credit card,0.03,2021-08-23,2021,08,23,August
N316,2021-08-23T00:00:00.000Z,North,Wholesale,Electrical system,16,22.73,363.63,Transfer,0.01,2021-08-23,2021,08,23,August
N317,2021-08-23T00:00:00.000Z,North,Retail,Breaking system,4,17.57,70.26,Cash,0,2021-08-23,2021,08,23,August
N318,2021-08-24T00:00:00.000Z,North,Wholesale,Electrical system,20,21.29,425.77,Transfer,0.01,2021-08-24,2021,08,24,August
N319,2021-08-24T00:00:00.000Z,North,Wholesale,Electrical system,20,18.45,368.97,Transfer,0.01,2021-08-24,2021,08,24,August
N320,2021-08-24T00:00:00.000Z,North,Wholesale,Breaking system,12,15.21,182.56,Transfer,0.01,2021-08-24,2021,08,24,August
N321,2021-08-24T00:00:00.000Z,North,Wholesale,Suspension & traction,28,37.03,1036.93,Transfer,0.01,2021-08-24,2021,08,24,August
N322,2021-08-24T00:00:00.000Z,North,Retail,Electrical system,4,27.38,109.51,Credit card,0.03,2021-08-24,2021,08,24,August
N323,2021-08-24T00:00:00.000Z,North,Retail,Breaking system,1,17.06,17.06,Credit card,0.03,2021-08-24,2021,08,24,August
N324,2021-08-25T00:00:00.000Z,North,Retail,Breaking system,3,17.06,51.17,Credit card,0.03,2021-08-25,2021,08,25,August
N325,2021-08-25T00:00:00.000Z,North,Wholesale,Suspension & traction,8,32.39,259.12,Transfer,0.01,2021-08-25,2021,08,25,August
N326,2021-08-25T00:00:00.000Z,North,Wholesale,Miscellaneous,28,21.56,603.77,Transfer,0.01,2021-08-25,2021,08,25,August
N327,2021-08-25T00:00:00.000Z,North,Retail,Breaking system,2,21.59,43.18,Credit card,0.03,2021-08-25,2021,08,25,August
N328,2021-08-25T00:00:00.000Z,North,Retail,Engine,8,55.41,443.28,Cash,0,2021-08-25,2021,08,25,August
N329,2021-08-26T00:00:00.000Z,North,Retail,Miscellaneous,6,23.04,138.26,Cash,0,2021-08-26,2021,08,26,August
N330,2021-08-26T00:00:00.000Z,North,Retail,Breaking system,7,20.24,141.7,Cash,0,2021-08-26,2021,08,26,August
N331,2021-08-26T00:00:00.000Z,North,Retail,Suspension & traction,7,29.34,205.36,Credit card,0.03,2021-08-26,2021,08,26,August
N332,2021-08-26T00:00:00.000Z,North,Retail,Miscellaneous,3,25.28,75.84,Cash,0,2021-08-26,2021,08,26,August
N333,2021-08-26T00:00:00.000Z,North,Wholesale,Breaking system,20,16.89,337.8,Transfer,0.01,2021-08-26,2021,08,26,August
N334,2021-08-26T00:00:00.000Z,North,Retail,Electrical system,7,18.35,128.43,Credit card,0.03,2021-08-26,2021,08,26,August
N335,2021-08-27T00:00:00.000Z,North,Wholesale,Suspension & traction,12,37.07,444.84,Transfer,0.01,2021-08-27,2021,08,27,August
N336,2021-08-27T00:00:00.000Z,North,Retail,Electrical system,10,28.56,285.63,Credit card,0.03,2021-08-27,2021,08,27,August
N337,2021-08-28T00:00:00.000Z,North,Retail,Frame & body,7,40.04,280.27,Credit card,0.03,2021-08-28,2021,08,28,August
N338,2021-08-28T00:00:00.000Z,North,Retail,Suspension & traction,6,30.74,184.42,Credit card,0.03,2021-08-28,2021,08,28,August
N339,2021-08-28T00:00:00.000Z,North,Retail,Frame & body,5,48.25,241.23,Cash,0,2021-08-28,2021,08,28,August
N340,2021-08-28T00:00:00.000Z,North,Wholesale,Electrical system,20,27.41,548.13,Transfer,0.01,2021-08-28,2021,08,28,August
C1,2021-06-01T00:00:00.000Z,Central,Retail,Miscellaneous,8,16.85,134.83,Credit card,0.03,2021-06-01,2021,06,01,June
C2,2021-06-01T00:00:00.000Z,Central,Retail,Engine,2,60.48,120.96,Credit card,0.03,2021-06-01,2021,06,01,June
C3,2021-06-01T00:00:00.000Z,Central,Retail,Breaking system,10,22.44,224.38,Credit card,0.03,2021-06-01,2021,06,01,June
C4,2021-06-01T00:00:00.000Z,Central,Retail,Frame & body,6,38.2,229.22,Credit card,0.03,2021-06-01,2021,06,01,June
C5,2021-06-01T00:00:00.000Z,Central,Retail,Suspension & traction,6,37.45,224.71,Credit card,0.03,2021-06-01,2021,06,01,June
C6,2021-06-02T00:00:00.000Z,Central,Retail,Suspension & traction,6,28.67,172.01,Credit card,0.03,2021-06-02,2021,06,02,June
C7,2021-06-02T00:00:00.000Z,Central,Retail,Breaking system,9,15.1,135.92,Credit card,0.03,2021-06-02,2021,06,02,June
C8,2021-06-02T00:00:00.000Z,Central,Retail,Electrical system,10,22.37,223.68,Credit card,0.03,2021-06-02,2021,06,02,June
C9,2021-06-02T00:00:00.000Z,Central,Retail,Frame & body,6,40.77,244.63,Credit card,0.03,2021-06-02,2021,06,02,June
C10,2021-06-03T00:00:00.000Z,Central,Retail,Suspension & traction,6,35.52,213.15,Credit card,0.03,2021-06-03,2021,06,03,June
C11,2021-06-03T00:00:00.000Z,Central,Retail,Electrical system,1,29.31,29.31,Cash,0,2021-06-03,2021,06,03,June
C12,2021-06-03T00:00:00.000Z,Central,Retail,Frame & body,1,48.9,48.9,Credit card,0.03,2021-06-03,2021,06,03,June
C13,2021-06-03T00:00:00.000Z,Central,Retail,Electrical system,8,27,216,Credit card,0.03,2021-06-03,2021,06,03,June
C14,2021-06-04T00:00:00.000Z,Central,Retail,Breaking system,4,19.78,79.14,Credit card,0.03,2021-06-04,2021,06,04,June
C15,2021-06-04T00:00:00.000Z,Central,Retail,Frame & body,3,41.07,123.21,Credit card,0.03,2021-06-04,2021,06,04,June
C16,2021-06-04T00:00:00.000Z,Central,Retail,Suspension & traction,1,37.03,37.03,Credit card,0.03,2021-06-04,2021,06,04,June
C17,2021-06-05T00:00:00.000Z,Central,Retail,Breaking system,3,21.01,63.03,Credit card,0.03,2021-06-05,2021,06,05,June
C18,2021-06-05T00:00:00.000Z,Central,Retail,Miscellaneous,1,25.2,25.2,Credit card,0.03,2021-06-05,2021,06,05,June
C19,2021-06-05T00:00:00.000Z,Central,Retail,Breaking system,1,20.66,20.66,Credit card,0.03,2021-06-05,2021,06,05,June
C20,2021-06-05T00:00:00.000Z,Central,Wholesale,Breaking system,4,13.65,54.6,Transfer,0.01,2021-06-05,2021,06,05,June
C21,2021-06-05T00:00:00.000Z,Central,Retail,Suspension & traction,9,30.9,278.07,Credit card,0.03,2021-06-05,2021,06,05,June
C22,2021-06-06T00:00:00.000Z,Central,Retail,Suspension & traction,4,35.36,141.46,Credit card,0.03,2021-06-06,2021,06,06,June
C23,2021-06-06T00:00:00.000Z,Central,Wholesale,Engine,36,63.41,2282.82,Transfer,0.01,2021-06-06,2021,06,06,June
C24,2021-06-06T00:00:00.000Z,Central,Retail,Breaking system,4,21.95,87.79,Credit card,0.03,2021-06-06,2021,06,06,June
C25,2021-06-07T00:00:00.000Z,Central,Wholesale,Frame & body,4,44.69,178.75,Transfer,0.01,2021-06-07,2021,06,07,June
C26,2021-06-07T00:00:00.000Z,Central,Retail,Miscellaneous,4,28.19,112.76,Credit card,0.03,2021-06-07,2021,06,07,June
C27,2021-06-07T00:00:00.000Z,Central,Retail,Breaking system,7,16.33,114.3,Credit card,0.03,2021-06-07,2021,06,07,June
C28,2021-06-07T00:00:00.000Z,Central,Wholesale,Suspension & traction,40,28.64,1145.47,Transfer,0.01,2021-06-07,2021,06,07,June
C29,2021-06-07T00:00:00.000Z,Central,Retail,Breaking system,6,24.6,147.61,Credit card,0.03,2021-06-07,2021,06,07,June
C30,2021-06-08T00:00:00.000Z,Central,Retail,Breaking system,10,19.21,192.05,Cash,0,2021-06-08,2021,06,08,June
C31,2021-06-08T00:00:00.000Z,Central,Wholesale,Frame & body,8,44.14,353.11,Transfer,0.01,2021-06-08,2021,06,08,June
C32,2021-06-08T00:00:00.000Z,Central,Retail,Miscellaneous,8,24.76,198.05,Credit card,0.03,2021-06-08,2021,06,08,June
C33,2021-06-08T00:00:00.000Z,Central,Wholesale,Breaking system,40,20.77,830.67,Transfer,0.01,2021-06-08,2021,06,08,June
C34,2021-06-08T00:00:00.000Z,Central,Wholesale,Miscellaneous,40,18.87,754.73,Transfer,0.01,2021-06-08,2021,06,08,June
C35,2021-06-08T00:00:00.000Z,Central,Retail,Suspension & traction,2,33.18,66.37,Credit card,0.03,2021-06-08,2021,06,08,June
C36,2021-06-08T00:00:00.000Z,Central,Retail,Frame & body,3,41.42,124.25,Credit card,0.03,2021-06-08,2021,06,08,June
C37,2021-06-09T00:00:00.000Z,Central,Wholesale,Breaking system,36,16.51,594.24,Transfer,0.01,2021-06-09,2021,06,09,June
C38,2021-06-09T00:00:00.000Z,Central,Retail,Frame & body,8,35.31,282.47,Credit card,0.03,2021-06-09,2021,06,09,June
C39,2021-06-09T00:00:00.000Z,Central,Retail,Breaking system,6,16.55,99.32,Credit card,0.03,2021-06-09,2021,06,09,June
C40,2021-06-09T00:00:00.000Z,Central,Retail,Suspension & traction,10,27.63,276.33,Credit card,0.03,2021-06-09,2021,06,09,June
C41,2021-06-09T00:00:00.000Z,Central,Wholesale,Suspension & traction,12,28.65,343.8,Transfer,0.01,2021-06-09,2021,06,09,June
C42,2021-06-10T00:00:00.000Z,Central,Retail,Electrical system,4,18.96,75.85,Credit card,0.03,2021-06-10,2021,06,10,June
C43,2021-06-10T00:00:00.000Z,Central,Retail,Frame & body,8,47.3,378.37,Credit card,0.03,2021-06-10,2021,06,10,June
C44,2021-06-10T00:00:00.000Z,Central,Retail,Electrical system,5,29.13,145.66,Credit card,0.03,2021-06-10,2021,06,10,June
C45,2021-06-10T00:00:00.000Z,Central,Retail,Breaking system,7,21.64,151.5,Credit card,0.03,2021-06-10,2021,06,10,June
C46,2021-06-11T00:00:00.000Z,Central,Wholesale,Breaking system,28,14.46,404.93,Transfer,0.01,2021-06-11,2021,06,11,June
C47,2021-06-12T00:00:00.000Z,Central,Retail,Electrical system,2,26.2,52.41,Credit card,0.03,2021-06-12,2021,06,12,June
C48,2021-06-12T00:00:00.000Z,Central,Retail,Suspension & traction,7,33.51,234.58,Credit card,0.03,2021-06-12,2021,06,12,June
C49,2021-06-12T00:00:00.000Z,Central,Retail,Electrical system,1,21.18,21.18,Cash,0,2021-06-12,2021,06,12,June
C50,2021-06-12T00:00:00.000Z,Central,Retail,Frame & body,6,37.17,223.01,Credit card,0.03,2021-06-12,2021,06,12,June
C51,2021-06-12T00:00:00.000Z,Central,Retail,Breaking system,10,22.21,222.08,Credit card,0.03,2021-06-12,2021,06,12,June
C52,2021-06-12T00:00:00.000Z,Central,Retail,Suspension & traction,10,41.25,412.5,Credit card,0.03,2021-06-12,2021,06,12,June
C53,2021-06-12T00:00:00.000Z,Central,Retail,Electrical system,8,31.93,255.41,Credit card,0.03,2021-06-12,2021,06,12,June
C54,2021-06-13T00:00:00.000Z,Central,Retail,Frame & body,6,45.43,272.6,Credit card,0.03,2021-06-13,2021,06,13,June
C55,2021-06-13T00:00:00.000Z,Central,Retail,Electrical system,10,23.61,236.08,Cash,0,2021-06-13,2021,06,13,June
C56,2021-06-13T00:00:00.000Z,Central,Wholesale,Breaking system,8,18.31,146.48,Transfer,0.01,2021-06-13,2021,06,13,June
C57,2021-06-13T00:00:00.000Z,Central,Retail,Miscellaneous,2,25.4,50.8,Credit card,0.03,2021-06-13,2021,06,13,June
C58,2021-06-13T00:00:00.000Z,Central,Retail,Breaking system,1,20.72,20.72,Credit card,0.03,2021-06-13,2021,06,13,June
C59,2021-06-14T00:00:00.000Z,Central,Retail,Miscellaneous,1,27.47,27.47,Credit card,0.03,2021-06-14,2021,06,14,June
C60,2021-06-14T00:00:00.000Z,Central,Retail,Electrical system,7,26.9,188.31,Credit card,0.03,2021-06-14,2021,06,14,June
C61,2021-06-14T00:00:00.000Z,Central,Retail,Frame & body,1,39.14,39.14,Credit card,0.03,2021-06-14,2021,06,14,June
C62,2021-06-14T00:00:00.000Z,Central,Retail,Miscellaneous,5,29.95,149.74,Credit card,0.03,2021-06-14,2021,06,14,June
C63,2021-06-14T00:00:00.000Z,Central,Retail,Miscellaneous,7,25.51,178.57,Credit card,0.03,2021-06-14,2021,06,14,June
C64,2021-06-14T00:00:00.000Z,Central,Retail,Electrical system,1,19.62,19.62,Credit card,0.03,2021-06-14,2021,06,14,June
C65,2021-06-14T00:00:00.000Z,Central,Wholesale,Electrical system,12,26.74,320.94,Transfer,0.01,2021-06-14,2021,06,14,June
C66,2021-06-14T00:00:00.000Z,Central,Retail,Breaking system,4,11.35,45.39,Credit card,0.03,2021-06-14,2021,06,14,June
C67,2021-06-14T00:00:00.000Z,Central,Retail,Engine,7,58.86,412.06,Credit card,0.03,2021-06-14,2021,06,14,June
C68,2021-06-15T00:00:00.000Z,Central,Wholesale,Engine,28,63.54,1779.07,Transfer,0.01,2021-06-15,2021,06,15,June
C69,2021-06-15T00:00:00.000Z,Central,Retail,Suspension & traction,10,41.23,412.28,Credit card,0.03,2021-06-15,2021,06,15,June
